image_name,body_length,height_at_withers,chest_width,rump_angle,cluster_label
13_b4-2_r_152_F.jpg,24.33105012119288,196.0,211.81123671797965,,0
13_b4-3_r_106_M.jpg,24.33105012119288,196.0,211.81123671797965,,0
13_b4-4_r_101_F.jpg,24.33105012119288,196.0,211.81123671797965,,0
14.0_r_115_2.4_F.jpg,24.33105012119288,196.0,211.81123671797965,,0
14_b4-1_r_89_M.jpg,24.33105012119288,196.0,211.81123671797965,,0
Ham MM (23).jpg,24.33105012119288,196.0,211.81123671797965,,0
Ham MM (24).jpg,24.33105012119288,196.0,211.81123671797965,,0
Ham MM (25).jpg,24.33105012119288,196.0,211.81123671797965,,0
Ham MM (26).jpg,24.33105012119288,196.0,211.81123671797965,,0
Ham MM (27).jpg,24.33105012119288,196.0,211.81123671797965,,0
Ham MM (28).jpg,24.33105012119288,196.0,211.81123671797965,,0
Ham MM (29).jpg,24.33105012119288,196.0,211.81123671797965,,0
photo_2.jpg,24.33105012119288,196.0,211.81123671797965,,0
photo_5.jpg,24.33105012119288,196.0,211.81123671797965,,0
photo_6.jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (1).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (10).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (12).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (14).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (15).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (16).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (17).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (18).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (19).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (2).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (20).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (21).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (22).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (23).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (24).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (33).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (34).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (35).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (36).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (37).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (38).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (4).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (5).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (6).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (7).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (8).jpg,24.33105012119288,196.0,211.81123671797965,,0
zaid mobile (northen mandi 1) (9).jpg,24.33105012119288,196.0,211.81123671797965,,0
